鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
南區,房地(土地+建物)+車位,臺中市南區忠明南路781~810號,16.33,住,,,1070523,土地1建物1車位2,十七層,42,辦公商業大樓,商業用,見其他登記事項,0821218,350.37,0,0,0,無,有,無,39988,114,坡道機械,0.0,3000,,RPVOMLPLNHNFFAB68CC
西區,建物,臺中市西區美村路一段781~810號,0.0,住,,,1070522,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830630,154.0,3,2,2,有,有,無,20000,130,坡道平面,0.0,0,車位面積無法分算,RPPPMLPLNHNFFAB18CC
西區,房地(土地+建物),臺中市西區三民路一段31~60號,4.41,住,,,1070515,土地1建物1車位0,十七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,68.06,3,2,2,有,無,有,11340,167,,0.0,0,此件為 台中市政府社會住宅包租代管試辦計畫租金市價打7折,RPPQMLPLNHNFFAB28CC
豐原區,房地(土地+建物),臺中市豐原區安和路35巷1~30號,74.0,住,,,1070518,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0780429,198.79,6,2,3,有,無,無,15000,75,,0.0,0,,RPVNMLPLNHNFFDB88CC
豐原區,土地,一心段1021~1050地號,605.8,住,,,1070507,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,36000,59,,0.0,0,,RPWNMLPLNHNFFDB98CC
豐原區,房地(土地+建物),臺中市豐原區三豐路一段61~90號,894.0,住,,,1070525,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060816,67.21,2,2,2,有,無,有,25000,372,,0.0,0,,RPWNMLSLNHNFFDB66CC
大雅區,房地(土地+建物),臺中市大雅區中清東路271~300號,310.51,住,,,1070521,土地4建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,1020130,415.03,0,0,0,無,無,無,94500,228,,0.0,0,,RPXNMLSLNHNFFHB17CC
大雅區,房地(土地+建物),臺中市大雅區中山北路151巷1~30號,13.95,住,,,1070528,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691007,56.7,2,1,1,有,無,無,7000,123,,0.0,0,,RPOOMLSLNHNFFHB98CC
西區,房地(土地+建物),臺中市西區忠明南路121~150號,19.03,住,,,1070528,土地1建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871030,228.67000000000002,4,2,2,有,有,有,35000,153,,0.0,0,起租日:107/07/01租金總額含稅。,RPUNMLSLNHNFFAB78CC
西區,房地(土地+建物),臺中市西區忠明南路91~120號,16.46,住,,,1070528,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,155.54999999999998,3,2,2,有,有,無,36500,235,,0.0,0,起租日:107/07/01租金總額含稅。,RPVNMLSLNHNFFAB88CC
