鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
林口區,房地(土地+建物)+車位,新北市林口區仁愛路二段511~540號,12.76,商,,,1070506,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970729,138.14999999999998,2,2,1,有,有,9750000,70575,坡道平面,39.18,0,,RPPOMLOJOHNFFBF18CA
林口區,房地(土地+建物),新北市林口區文化二路一段68巷1~30號,9.35,住,,,1070428,土地1建物1車位0,一層，夾層,十層,店面(店鋪),商業用,鋼筋混凝土造,0850126,53.400000000000006,0,0,0,無,有,13000000,243446,,0.0,0,,RPSOMLOJOHNFFBF48CA
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段88巷1~30號,25.93,住,,,1070427,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971013,197.3,3,2,2,有,有,15500000,78561,坡道平面,26.06,0,,RPOQMLOJOHNFFBF28CA
泰山區,房地(土地+建物)+車位,新北市泰山區全興路211~240號,8.86,商,,,1070504,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930130,105.22,2,2,1,有,有,8600000,81734,坡道平面,0.0,0,陽台外推,RPUNMLSJOHNFFBF98CA
新莊區,房地(土地+建物),新北市新莊區萬安街31~60號,19.96,住,,,1070508,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680717,75.7,3,2,1,有,無,5820000,76882,,0.0,0,,RPUNMLOKOHNFFBF68CA
林口區,房地(土地+建物)+車位,新北市林口區民富街181~210號,41.44,商,,,1070316,土地1建物1車位2,十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031125,526.26,5,2,4,有,有,51000000,98031,坡道平面,45.8,3900000,,RPPQMLNKOHNFFBF38CA
林口區,房地(土地+建物)+車位,新北市林口區東湖路1~30號,67.4,住,,,1070418,土地1建物1車位1,五層，六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951103,156.05,2,2,2,有,有,11600000,74335,坡道平面,0.0,0,,RPSSMLQJOHNFFBF09CA
五股區,房地(土地+建物),新北市五股區水碓路16巷31~60號,8.81,其他,,,1070506,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860129,54.989999999999995,1,0,0,有,有,3800000,69103,,0.0,0,,RPPNMLMKOHNFFBF97CA
新莊區,車位,新北市新莊區福營路301~330號,13.74,工,,,1070426,土地0建物0車位3,地下一層,十層,其他,見其他登記事項,鋼筋混凝土造,0830526,92.44,0,0,0,有,有,2000000,,坡道平面,0.0,2000000,,RPSQMLKMNHNFFBF48CA
林口區,土地,南勢埔段頭湖小段151~180地號,92.68,工,,,1070516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2607000,28129,,0.0,0,,RPOOMLLMNHNFFBF97CA
林口區,房地(土地+建物),新北市林口區文化二路一段68巷1~30號,9.81,住,,,1070428,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850126,56.41,2,2,2,有,有,4550000,80659,,0.0,0,,RPOQMLKMNHNFFBF08CA
新莊區,房地(土地+建物)+車位,新北市新莊區中港路531巷121~150號,17.49,住,,,1070322,土地1建物1車位1,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0921116,142.47,3,1,2,有,有,14850000,104232,坡道平面,24.77,0,,RPUOMLLJOHNFFBF38CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段301~330號,15.17,商,,,1070427,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990811,157.38,3,2,2,有,有,11500000,73072,坡道平面,26.56,0,,RPOUMLLMNHNFFBF58CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段61~90號,52.25,住,,,1040610,土地1建物1車位3,二十六層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061012,440.90999999999997,0,0,0,無,有,51520000,123048,坡道平面,63.66,5100000,,RPPUMLLMNHNFFBF68CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段301~330號,11.04,商,,,1070418,土地1建物1車位1,十六層,十九層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0990811,113.64,1,1,1,有,有,7380000,64942,坡道平面,26.56,0,,RPUTMLLMNHNFFBF09CA
新莊區,房地(土地+建物),新北市新莊區新樹路258巷1~30號,88.54,工,,,1070416,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0961210,294.25,4,2,2,有,有,24250000,82413,,0.0,0,,RPUNMLLJOHNFFBF28CA
新莊區,房地(土地+建物),新北市新莊區昌平街82巷1~30號,12.42,住,,,1070422,土地1建物1車位0,六層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820410,52.739999999999995,1,1,1,有,有,4950000,93857,,0.0,0,,RPWNMLLJOHNFFBF48CA
板橋區,房地(土地+建物),新北市板橋區五權街35巷1~30號,17.6,住,,,1070510,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680810,79.4,3,2,2,有,無,11400000,143577,,0.0,0,,RPPWMLMKOHNFFAF78CA
板橋區,土地,篤行段481~510地號,10.14,住,,,1070518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1530000,150888,,0.0,0,,RPOWNLMKOHNFFAF78CA
