鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
楊梅區,土地,民富段61~90地號,307.0,農,,,1070413,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1660595,5409,,0.0,0,農田水利會協議價購民眾土地,RPOQMLRJOHNFFDH98CA
楊梅區,土地,民富段61~90地號,307.0,農,,,1070413,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1660595,5409,,0.0,0,農田水利會協議價購民眾土地,RPSPMLRJOHNFFDH66CA
楊梅區,土地,民有段541~570地號,47.0,,特定農業區,水利用地,1070420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,263200,5600,,0.0,0,農田水利會協議價購民眾土地,RPOPMLRJOHNFFDH88CA
楊梅區,土地,民有段961~990地號,68.28,,特定農業區,水利用地,1070412,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,277258,4061,,0.0,0,農田水利會協議價購民眾土地,RPQNMLRJOHNFFDH88CA
楊梅區,房地(土地+建物),桃園市楊梅區裕成路164巷1~30號,110.0,,山坡地保育區,丙種建築用地,1070428,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0710720,124.06,3,2,2,有,無,4750000,38288,,0.0,0,,RPRNMLLKOHNFFDH48CA
楊梅區,土地,民富段571~600地號,148.33,住,,,1070412,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2356043,15884,,0.0,0,農田水利會協議價購民眾土地,RPROMLSJOHNFFDH56CA
楊梅區,土地,豐野段31~60地號,14.45,其他,,,1070413,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,103244,7145,,0.0,0,農田水利會協議價購民眾土地,RPPTMLRJOHNFFDH76CA
楊梅區,土地,豐野段1~30地號,14.45,其他,,,1070419,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,103244,7145,,0.0,0,農田水利會協議價購民眾土地,RPQTMLRJOHNFFDH86CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街275巷1~30號,23.62,住,,,1070403,土地3建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050901,164.53,3,2,2,有,無,6400000,38899,坡道平面,0.0,0,,RPXNMLPKOHNFFDH86CA
新屋區,房地(土地+建物),桃園市新屋區校前一街91~120號,77.42,住,,,1070409,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061023,198.34,5,3,3,有,無,10900000,54956,,0.0,0,,RPROMLKLOHNFFDH58CA
