鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
新店區,建物,新北市新店區寶橋路235巷121~150號,0.0,工,,,1070525,土地0建物1車位1,五層,8,廠辦,工業用,鋼筋混凝土造,0881004,285.03,0,0,0,無,無,無,85000,298,坡道平面,0.0,0,,RPPOMLTLNHNFFCF09CC
新店區,建物,新北市新店區建國路271~300號,0.0,工,,,1070528,土地0建物1車位0,二層,11,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0970901,573.9,0,0,0,無,無,無,227040,396,,0.0,0,含5個機車位,RPQOMLTLNHNFFCF56CC
板橋區,建物,新北市板橋區雙十路一段1~30號,0.0,住,,,1070522,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860520,79.42,2,2,1,有,有,有,22000,277,,0.0,0,租金含管理費,RPWOMLTLNHNFFAF96CC
新店區,建物,新北市新店區中興路三段211~240號,0.0,住,,,1070523,土地0建物1車位0,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851116,25.42,1,0,1,有,有,有,12000,472,,0.0,0,租金含管理費,RPRNMLKMNHNFFCF38CC
新莊區,建物,新北市新莊區雙鳳路77巷1~30號,0.0,住,,,1070522,土地0建物1車位1,七層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050914,187.7,3,2,2,有,有,無,26000,139,坡道平面,39.78,0,,RPPNMLKMNHNFFBF08CC
新莊區,建物,新北市新莊區福德二街61~90號,0.0,住,,,1070521,土地0建物1車位1,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1001129,167.9,0,0,0,無,有,有,45000,268,坡道平面,38.7,0,租金含管理費,RPTNMLKMNHNFFBF48CC
新莊區,建物,新北市新莊區福樂街118巷1弄1~30號,0.0,住,,,1070522,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660209,13.22,1,0,0,有,無,有,8000,605,,0.0,0,分租,RPUNMLKMNHNFFBF58CC
淡水區,房地(土地+建物),新北市淡水區淡海路31~60號,23.32,住,,,1070529,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681121,79.51,3,2,1,有,無,有,11000,138,,0.0,0,,RPOQMLKMNHNFFEF58CC
淡水區,房地(土地+建物),新北市淡水區淡金路38巷61~90號,16.06,住,,,1070529,土地1建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980821,83.50999999999999,2,1,1,有,有,有,18000,216,,0.0,0,,RPWQMLKMNHNFFEF76CC
汐止區,建物,新北市汐止區大同路二段271~300號,0.0,住,,,1070518,土地0建物1車位0,二十四層,24,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840126,56.09,1,1,1,有,有,有,15000,267,,0.0,0,,RPPNMLKMNHNFFDF28CC
汐止區,建物,新北市汐止區水源路一段168巷1~30號,0.0,住,,,1070526,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770813,123.62,3,2,2,有,無,有,19000,154,,0.0,0,,RPRNMLKMNHNFFDF48CC
三重區,建物,新北市三重區中興北街135巷1~30號,0.0,工,,,1070403,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0760310,65.29,0,0,0,無,有,無,16000,245,,0.0,0,,RPVNMLKMNHNFFGF56CC
三重區,建物,新北市三重區中興北街135巷1~30號,0.0,工,,,1070403,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0760310,82.0,0,0,0,無,有,無,18000,220,,0.0,0,,RPWNMLKMNHNFFGF66CC
三峽區,房地(土地+建物)+車位,新北市三峽區學成路271~300號,17.72,住,,,1070501,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960212,129.1,2,1,1,有,有,有,18000,139,坡道平面,26.1,0,,RPXNMLKMNHNFFIF96CC
板橋區,房地(土地+建物)+車位,新北市板橋區中山路一段181~210號,16.94,其他,,,1070418,土地1建物1車位2,七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011026,223.85,4,2,2,有,有,有,50874,227,坡道平面,0.0,0,本案車位面積無法拆算。租金含代扣繳租賃所得稅。含第二代全民健康保險補充保險費。107年4月18日至107年5月31日止為免租裝潢期。撤銷原申報書序號C2FA10704250015,RPTQMLKMNHNFFAF88EC
中和區,建物,新北市中和區中山路三段211~240號,0.0,住,,,1070518,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060801,81.76,2,2,1,有,有,有,22000,269,,0.0,0,,RPPNMLKMNHNFFHF68CC
中和區,房地(土地+建物),新北市中和區連城路139巷61~90號,28.44,住,,,1070518,土地1建物1車位0,一層,4,店面(店鋪),住家用,加強磚造,0640410,65.72,0,0,1,有,無,無,20000,304,,0.0,0,,RPQNMLKMNHNFFHF78CC
汐止區,房地(土地+建物),新北市汐止區大同路二段421~450號,0.0,住,,,1070514,土地2建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0681220,62.28,0,0,0,無,無,無,45000,723,,0.0,0,,RPQNMLKMNHNFFDF48DC
中和區,建物,新北市中和區建八路181~210號,0.0,工,,,1070501,土地0建物1車位0,七層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0960731,56.8,0,0,0,無,有,無,17500,308,,0.0,0,,RPSNMLLMNHNFFHF09CC
中和區,建物,新北市中和區景平路91~120號,0.0,住,,,1070506,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060823,82.18,2,1,1,有,有,無,28500,347,,0.0,0,,RPXPMLLMNHNFFHF17CC
中和區,建物,新北市中和區宜安路1~30號,0.0,住,,,1070501,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931008,71.5,2,1,1,有,有,無,20000,280,,0.0,0,,RPPQMLLMNHNFFHF09CC
中和區,建物,新北市中和區圓通路91~120號,0.0,住,,,1070512,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690701,96.12,3,1,1,有,無,無,17000,177,,0.0,0,,RPTQMLLMNHNFFHF86CC
樹林區,建物,新北市樹林區中山路一段191巷1~30號,0.0,商,,,1070529,土地0建物1車位0,一層,2,倉庫,見其他登記事項,鋼筋混凝土造,,132.0,0,0,0,無,無,有,30000,,,0.0,0,"只有承租部份面積，租賃第一個月為裝潢期免租金,之後第一至二年每月租金參萬元(不含稅及不含二代健保補充保費),第三至五年每月租金參萬伍千元(不含稅及不含二代健保補充保費)",RPRNMLLMNHNFFIF09CC
汐止區,建物,新北市汐止區龍安路28巷1~30號,0.0,商,,,1070530,土地0建物1車位0,十四層,26,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860703,37.87,1,0,1,有,有,有,11000,290,,0.0,0,,RPSNMLLMNHNFFDF68CC
汐止區,建物,新北市汐止區龍安路151~180號,0.0,住,,,1070530,土地0建物1車位0,一層,14,店面(店鋪),住商用,鋼筋混凝土造,0800104,143.06,0,0,0,無,有,無,85000,594,,0.0,0,,RPTNMLLMNHNFFDF78CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段306巷9弄31~60號,22.86,住,,,1070530,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020902,159.08,3,2,2,有,無,有,20000,126,坡道平面,25.69,0,,RPUOMLLMNHNFFEF09CC
淡水區,房地(土地+建物),新北市淡水區淡金路38巷31~60號,4.68,住,,,1070519,土地1建物1車位0,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980218,44.7,1,1,1,有,有,有,12000,268,,0.0,0,,RPORMLLMNHNFFEF78CC
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路38巷31~60號,5.91,住,,,1070520,土地1建物1車位1,十八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980218,78.24000000000001,1,1,1,有,有,有,14000,179,坡道平面,30.14,0,,RPQRMLLMNHNFFEF98CC
淡水區,房地(土地+建物),新北市淡水區中正東路二段61~90號,2.53,住,,,1070530,土地1建物1車位0,六層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0920922,52.36,1,1,1,有,有,有,16000,306,,0.0,0,,RPRRMLLMNHNFFEF09CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段181~210號,8.34,商,,,1070516,土地1建物1車位1,九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,109.27000000000001,2,1,1,有,有,無,13000,119,坡道平面,15.42,0,,RPSRMLLMNHNFFEF56CC
板橋區,房地(土地+建物),新北市板橋區大觀路三段198巷1~30號,20.67,住,,,1070529,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850727,110.49000000000001,3,1,1,有,無,無,15000,136,,0.0,0,,RPUQMLLMNHNFFAF88CC
