鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
中山區,建物,臺北市中山區新生北路二段60巷31~60號,0.0,商,,,1060427,土地0建物1車位0,三層,6,套房(1房1廳1衛),商業用,鋼筋混凝土造,0860628,27.919999999999998,1,1,1,有,有,有,16500,591,,0.0,0,租金含管理費。,RPSRMLLLNHNFFCA38CC
萬華區,建物,臺北市萬華區漢中街91~120號,0.0,商,,,1070410,土地0建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,,171.39,0,0,0,無,無,無,1050000,6126,,0.0,0,本租賃案件含地下室,RPQNMLLLNHNFFBA67CC
中正區,建物,臺北市中正區漢口街一段91~120號,0.0,商,,,1070425,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,56.199999999999996,0,0,0,無,有,有,19490,347,,0.0,0,含租賃所得稅,RPSNMLLLNHNFFBA87CC
中正區,建物,臺北市中正區仁愛路二段91~120號,0.0,住,,,1070411,土地0建物1車位0,地下一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,,825.13,0,0,0,無,無,無,430000,521,,0.0,0,承租範圍：1樓及地下室,RPTNMLLLNHNFFBA97CC
中正區,建物,臺北市中正區延平南路61~90號,0.0,商,,,1070430,土地0建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700402,59.150000000000006,0,0,0,無,有,有,22000,372,,0.0,0,含租賃所得稅,RPVNMLLLNHNFFBA18CC
萬華區,建物,臺北市萬華區中華路一段61~90號,0.0,商,,,1070516,土地0建物1車位0,十三層,14,辦公商業大樓,住家用,鋼筋混凝土造,0870604,30.980000000000004,0,0,0,無,有,有,13000,420,,0.0,0,含租賃所得稅,RPXNMLLLNHNFFBA38CC
中正區,建物,臺北市中正區臨沂街29巷1~30號,0.0,住,,,1070518,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0930102,37.5,2,1,1,有,無,有,26000,693,,0.0,0,,RPOOMLLLNHNFFBA57CC
大同區,建物,臺北市大同區太原路151~180號,0.0,商,,,1070430,土地0建物1車位0,二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910225,201.48000000000002,3,1,2,有,有,有,60000,298,,0.0,0,,RPVOMLLLNHNFFBA28CC
中正區,建物,臺北市中正區忠孝東路一段31~60號,0.0,商,,,1070426,土地0建物1車位0,三層,14,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960511,35.19,1,0,1,有,有,有,20000,568,,0.0,0,,RPWOMLLLNHNFFBA38CC
信義區,建物,臺北市信義區松德路151~180號,0.0,住,,,1070511,土地0建物1車位0,六層,30,辦公商業大樓,商業用,鋼骨混凝土造,0820524,144.61,3,1,2,有,有,無,50000,346,,0.0,0,,RPQNMLLLNHNFFDA87CC
松山區,房地(土地+建物),臺北市松山區南京東路五段291巷20弄1~30號,12.75,住,,,1070424,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0570906,40.46,0,1,1,有,無,無,16000,395,,0.0,0,,RPRNMLLLNHNFFDA97CC
松山區,房地(土地+建物),臺北市松山區南京東路五段291巷20弄1~30號,8.5,住,,,1070424,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0570906,26.98,0,1,1,有,無,無,10000,371,,0.0,0,,RPTNMLLLNHNFFDA18CC
信義區,建物,臺北市信義區忠孝東路五段61~90號,0.0,商,,,1070501,土地0建物0車位0,三十六層,46,辦公商業大樓,見其他登記事項,見其他登記事項,1040415,295.57,0,0,0,無,有,無,329923,1116,,0.0,0,,RPVNMLLLNHNFFDA38CC
信義區,建物,臺北市信義區基隆路一段61~90號,0.0,,,,1070417,土地0建物1車位1,八層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0960919,329.88,0,0,0,無,有,無,85182,258,坡道平面,39.68,0,,RPWNMLLLNHNFFDA48CC
