編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLKMNHNFFIB56CC,7,37.83,見其他登記事項,鋼筋混凝土造,100年4月13日,十五層,
RPORMLTLNHNFFBB78CC,5,67.28,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPORMLTLNHNFFBB78CC,5,18.08,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPORMLTLNHNFFBB78CC,5,41.65,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPPOMLKMNHNFFDB97CC,36,193.20,工商用,加強磚造,71年10月28日,二層,
RPPQMLTLNHNFFAB68CC,1,61.05,見其他登記事項,鋼筋混凝土造,106年5月25日,十二層,
RPPQMLTLNHNFFAB68CC,1,67.12,見其他登記事項,鋼筋混凝土造,106年5月25日,十二層,
RPOQMLTLNHNFFAB58CC,25,152.69,商業用,鋼筋混凝土造,82年5月22日,七層,
RPOQMLTLNHNFFAB58CC,25,23.12,見其他登記事項,鋼筋混凝土造,82年5月22日,七層,
RPOQMLTLNHNFFAB58CC,25,193.18,商業用,鋼筋混凝土造,82年5月22日,七層,
RPOQMLTLNHNFFAB58CC,25,23.68,見其他登記事項,鋼筋混凝土造,82年5月22日,七層,
RPVNMLKMNHNFFHB88CC,17,131.51,住家用,鋼筋混凝土造,90年1月12日,十四層,
RPUPMLTLNHNFFDB76CC,37,214.80,工商用,加強磚造,70年8月25日,二層,
RPSOMLKMNHNFFBB08CC,4,94.65,住家用,鋼筋混凝土造,103年6月13日,十五層,
RPSOMLKMNHNFFBB08CC,4,75.97,見其他登記事項,鋼筋混凝土造,103年6月13日,十五層,
RPPRMLKMNHNFFBB08CC,5,62.26,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPPRMLKMNHNFFBB08CC,5,16.71,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPPRMLKMNHNFFBB08CC,5,13.35,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPQRMLKMNHNFFBB18CC,5,27.23,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPURMLKMNHNFFBB58CC,12,31.88,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPRRMLKMNHNFFBB28CC,5,42.77,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPRRMLKMNHNFFBB28CC,5,11.45,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPRRMLKMNHNFFBB28CC,5,22.83,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPOSMLKMNHNFFBB08CC,12,64.97,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPOSMLKMNHNFFBB08CC,12,26.04,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPVOMLKMNHNFFCB48CC,22,477.22,見其他登記事項,鋼筋混凝土造,85年7月10日,十五層,
RPXRMLKMNHNFFBB88CC,12,48.14,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPXRMLKMNHNFFBB88CC,12,19.26,共有部份,鋼筋混凝土造,94年12月8日,十八層,
