編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLSLNHNFFCA98CC,5,37.28,見其他登記事項,鋼筋混凝土造,102年8月23日,五層,
RPPOMLSLNHNFFFA78CC,8,85.38,住家用,鋼筋混凝土造,99年5月13日,十三層,
RPPOMLSLNHNFFFA78CC,8,36.74,見其他登記事項,鋼筋混凝土造,99年5月13日,十三層,
RPROMLSLNHNFFFA98CC,36,141.87,住家用,鋼筋混凝土造,71年2月26日,十二層,
RPROMLSLNHNFFFA98CC,36,19.04,共有部分,鋼筋混凝土造,71年2月26日,十二層,
RPPNMLSLNHNFFDA48CC,48,145.04,住家用,鋼筋混凝土造,59年4月29日,四層,
RPRQMLSLNHNFFCA88CC,4,47.38,住家用,鋼筋混凝土造,103年1月16日,七層,
RPRQMLSLNHNFFCA88CC,4,26.82,見其他登記事項,鋼筋混凝土造,103年1月16日,七層,
RPWNMLSLNHNFFCA09CC,7,55.70,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPRQMLSLNHNFFCA88CC,4,3.66,見其他登記事項,鋼筋混凝土造,103年1月16日,七層,
RPWNMLSLNHNFFCA09CC,7,13.05,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPWNMLSLNHNFFCA09CC,7,20.98,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPXNMLSLNHNFFCA56CC,37,42.98,商業用,鋼筋混凝土造,70年8月12日,十二層,
RPUNMLSLNHNFFDA98CC,39,97.22,住家用,鋼筋混凝土造,68年6月9日,五層,
RPQNMLSLNHNFFDA58CC,12,48.60,見其他登記事項,鋼筋混凝土造,95年1月17日,十一層,
RPQNMLSLNHNFFDA58CC,12,13.51,共有部分,鋼筋混凝土造,95年1月17日,十一層,
RPQNMLSLNHNFFDA58CC,12,.00,共有部分,鋼筋混凝土造,95年1月17日,十一層,
RPVNMLSLNHNFFDA09CC,9,35.42,住家用,鋼筋混凝土造,97年12月5日,十五層,
RPVNMLSLNHNFFDA09CC,9,4.92,共有部分,鋼筋混凝土造,97年12月5日,十五層,
RPVNMLSLNHNFFDA09CC,9,12.62,共有部分,鋼筋混凝土造,97年12月5日,十五層,
RPVNMLSLNHNFFDA09CC,9,.01,共有部分,鋼筋混凝土造,97年12月5日,十五層,
RPVNMLSLNHNFFDA09CC,9,2.92,共有部分,鋼筋混凝土造,97年12月5日,十五層,
RPTOMLSLNHNFFDA98CC,13,125.13,住家用,見其他登記事項,93年11月30日,二十五層,
RPTOMLSLNHNFFDA98CC,13,43.55,共有部分,見其他登記事項,93年11月30日,二十五層,
RPTOMLSLNHNFFDA98CC,13,43.96,共有部分,見其他登記事項,93年11月30日,二十五層,
RPTOMLSLNHNFFDA98CC,13,36.43,共有部分,見其他登記事項,93年11月30日,二十五層,
RPTOMLSLNHNFFDA98CC,13,9.05,共有部分,見其他登記事項,93年11月30日,二十五層,
RPUOMLSLNHNFFDA09CC,12,211.09,見其他登記事項,見其他登記事項,95年1月26日,十三層,
RPRNMLSLNHNFFAA38CC,6,72.85,見其他登記事項,鋼筋混凝土造,101年7月27日,十五層,
RPRNMLSLNHNFFAA38CC,6,34.87,見其他登記事項,鋼筋混凝土造,101年7月27日,十五層,
RPRNMLSLNHNFFAA38CC,6,.87,見其他登記事項,鋼筋混凝土造,101年7月27日,十五層,
RPTPMLSLNHNFFBA88CC,5,117.05,住家用,鋼筋混凝土造,102年1月18日,十三層,
RPTPMLSLNHNFFBA88CC,5,39.52,見其他登記事項,鋼筋混凝土造,102年1月18日,十三層,
