編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSSMLSLNHNFFBF96CC,11,1.97,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPSSMLSLNHNFFBF96CC,11,6.37,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPSSMLSLNHNFFBF96CC,11,19.63,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPSSMLSLNHNFFBF96CC,11,41.78,共有部分,鋼筋混凝土造,96年10月17日,十九層,
RPPNMLSLNHNFFEF09CC,30,23.47,住家用,鋼筋混凝土造,77年2月5日,五層,
RPXNMLSLNHNFFEF27CC,29,34.41,住家用,鋼筋混凝土造,78年8月15日,七層,
RPPSMLSLNHNFFEF96CC,24,106.85,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPPOMLSLNHNFFEF56CC,18,107.34,見其他登記事項,鋼骨鋼筋混凝土造,89年4月18日,三十層,
RPTTMLSLNHNFFEF47CC,10,56.16,住家用,鋼筋混凝土造,97年9月17日,十九層,
RPTTMLSLNHNFFEF47CC,10,24.96,共有部分,鋼筋混凝土造,97年9月17日,20,
RPVSMLSLNHNFFEF57CC,11,24.45,住家用,鋼筋混凝土造,96年10月26日,十四層,
RPVSMLSLNHNFFEF57CC,11,1.48,共有部分,鋼筋混凝土造,96年10月26日,十四層,
RPVSMLSLNHNFFEF57CC,11,1.96,共有部分,鋼筋混凝土造,96年10月26日,十四層,
RPVSMLSLNHNFFEF57CC,11,.03,共有部分,鋼筋混凝土造,96年10月26日,十四層,
RPVSMLSLNHNFFEF57CC,11,8.62,共有部分,鋼筋混凝土造,96年10月26日,十四層,
RPQQMLSLNHNFFGF07CC,38,100.00,住家用,鋼筋混凝土造,68年12月26日,五層,
RPSOMLSLNHNFFIF27CC,10,209.01,見其他登記事項,鋼筋混凝土造,97年10月30日,二十七層,
RPUPMLSLNHNFFDF27EC,19,58.06,住家用,鋼筋混凝土造,88年2月3日,三十二層,
RPUPMLSLNHNFFDF27EC,19,1.25,共有部分,鋼筋混凝土造,88年2月3日,三十三層,
RPUPMLSLNHNFFDF27EC,19,1.64,共有部分,鋼筋混凝土造,88年2月3日,三十三層,
RPUPMLSLNHNFFDF27EC,19,14.16,共有部分,鋼筋混凝土造,88年2月3日,三十二層,
RPXPMLSLNHNFFDF57EC,22,72.69,住家用,鋼筋混凝土造,85年3月22日,六層,
RPXPMLSLNHNFFDF57EC,22,20.43,見其他登記事項,鋼筋混凝土造,85年3月22日,六層,
RPXPMLSLNHNFFDF57EC,22,8.96,見其他登記事項,鋼筋混凝土造,85年3月22日,六層,
RPRQMLSLNHNFFDF07EC,23,540.79,工業用,鋼造,83年12月22日,二十六層,
RPRQMLSLNHNFFDF07EC,23,37.27,共有部分,鋼造,83年12月22日,二十六層,
RPRQMLSLNHNFFDF07EC,23,2.77,共有部分,鋼造,83年12月22日,二十六層,
RPRQMLSLNHNFFDF07EC,23,61.30,共有部分,鋼造,83年12月22日,二十六層,
RPQQMLSLNHNFFDF76CC,28,546.98,住家用,鋼筋混凝土造,79年9月15日,四層,
RPQQMLSLNHNFFDF76CC,28,4.48,共有部分,鋼筋混凝土造,79年9月15日,四層,
RPWQMLSLNHNFFHF77CC,39,84.70,商業用,鋼筋混凝土造,68年4月26日,五層,
